/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Hakeem-ur-Rehman
 * Creation Date: Apr 13, 2017 at 2:45:29 PM
 *********************************************/
//Test Instance-2: TAS1C1D2 (Test Assembly Setup-Profile_1 Capacity-Profile_1 Demand-Series_2)
FP = 2;
RP = 40;
J = 40;
L = 6;
T = 16;
S = 48;
allproductsonstage1 = {31,32,33,34,35,36,37,38,39,40};
allproductsonstage2_1 = {15,16,17,18,19,20,21,22};
allproductsonstage2_2 = {23,24,25,26,27,28,29,30};
allproductsonstage3 = {7,8,9,10,11,12,13,14};
allproductsonstage4 = {3,4,5,6};
allproductsonstage5 = {1,2};
family1stage1 = {31,32};
family2stage1 = {33,34};
family3stage1 = {35,36};
family4stage1 = {37,38};
family5stage1 = {39,40};
family1stage2_1 = {20};
family2stage2_1 = {22};
family3stage2_1 = {15,16};
family4stage2_1 = {17,18};
family5stage2_1 = {19,20};
family6stage2_1 = {21,22};
family1stage2_2 = {23};
family2stage2_2 = {27};
family3stage2_2 = {29};
family4stage2_2 = {23,24};
family5stage2_2 = {25,26};
family6stage2_2 = {27,28};
family7stage2_2 = {29,30};
family1stage3 = {7};
family2stage3 = {8};
family3stage3 = {9};
family4stage3 = {10};
family5stage3 = {11};
family6stage3 = {12};
family7stage3 = {13};
family8stage3 = {14};
family9stage3 = {7,8};
family10stage3 = {9,10};
family11stage3 = {11,12};
family12stage3 = {13,14};
family1stage4 = {3};
family2stage4 = {4};
family3stage4 = {5};
family4stage4 = {6};
family5stage4 = {3,4};
family6stage4 = {5,6};
family1stage5 = {1};
family2stage5 = {2};
microperiods1tomacroperiod = {1,2,3};
microperiods2tomacroperiod = {4,5,6};
microperiods3tomacroperiod = {7,8,9};
microperiods4tomacroperiod = {10,11,12};
microperiods5tomacroperiod = {13,14,15};
microperiods6tomacroperiod = {16,17,18};
microperiods7tomacroperiod = {19,20,21};
microperiods8tomacroperiod = {22,23,24};
microperiods9tomacroperiod = {25,26,27};
microperiods10tomacroperiod = {28,29,30};
microperiods11tomacroperiod = {31,32,33};
microperiods12tomacroperiod = {34,35,36};
microperiods13tomacroperiod = {37,38,39};
microperiods14tomacroperiod = {40,41,42};
microperiods15tomacroperiod = {43,44,45};
microperiods16tomacroperiod = {46,47,48};

min_lotsize = 1;
production_cost = 1;
production_time = 1;
standby_cost = 1;
BOM = 1;
BigM = 10000;
